,nome,cpf,data_nascimento
1506,Ed Chaulette,05647379690,26/3/1975
1507,Janete Cipriano,47683437521,25/1/1979
1508,Jandineia Dalober,83932742564,17/8/1979
1509,Betânia Dalateia,62225367749,29/11/2001
1510,Amon Alcione,51115649382,17/7/1993
1511,Carol Aldete,84392704999,27/6/1982
1512,Aida Rangel,76249940102,7/5/1980
1513,Osias Christof,93408906756,25/12/1969
1514,Alessio Ciqueira,70004589749,16/5/2000
1515,Jade de Melo,35657199981,2/8/1917
1516,Olegario Clairton,66539028755,25/2/2016
1517,Carmelo Clairton,19991771032,1/8/1935
1518,Carlito Dahse,80649590765,12/8/1986
1519,Carolina Daiger,16758375401,13/4/1905
1520,Charles Batista,10154509094,26/10/1932
1521,Brigite Claussen,81432478135,17/4/1924
1522,Chris Chestian,19922419905,10/4/1986
1523,Brigite Dammann,22702166896,12/5/1990
1524,Eloy Gonçalves,56522046700,8/2/1955
1525,Ediraldo Dahmer,41175713852,5/9/1921
1526,Ediraldo Damann,59556589833,8/6/1916
1527,Alcione Cimbern,76564219092,31/10/1955
1528,Alvaro Ribeiro,11697420926,25/6/1958
1529,Cecile Dalbias,73945505041,14/5/1940
1530,Alessandra Cleber,67265052529,29/9/1950
1531,Edmilson Alceu,99091383668,12/3/1995
1532,Ilario Dams,76918817978,14/1/1967
1533,Osias Chremerv ,80028589894,4/9/1908
1534,Eliseu Alcione,79670678023,18/1/1953
1535,Jacilei Dalms,64340482969,4/8/1926
1536,Amancio Cimbern,34954112255,26/6/2010
1537,Ivan Ciola,11085995725,21/11/1964
1538,Agnes Claser,12936961514,18/11/2013
1539,Janaina Ferreira,50388972962,6/5/1963
1540,Cassiane Rangel,53453657391,6/10/1931
1541,Caue Alceu,22252318438,20/10/1937
1542,Casimiro Alessandra,09177717558,21/5/1925
1543,Eduardo Dahmer,32428014628,27/9/1927
1544,Cesar Fonseca,06966403300,12/12/1906
1545,Ilario Severino,88247953595,24/5/1998
1546,Carol Cimbern,87541370616,3/1/1986
1547,Amon Lima ,86453216180,11/3/1944
1548,Ivich Chica,15459688479,27/3/1948
1549,Eder Christian ,62902633250,14/5/1987
1550,Celso Alceu,98622538771,12/1/1945
1551,Badia Christian ,26723253051,20/5/1951
1552,Evelyne Baldoc,57502138301,1/1/1932
1553,Cassia Damer,27158553467,10/8/1973
1554,Adalgisa Cironi,79018212788,25/9/1918
1555,Candida Dams,37530052283,11/6/1909
1556,Carol Dalm,95241504577,15/8/1950
1557,Aimee Cidade,65581041263,19/7/1909
1558,Amadeu Aldete,78437071416,26/4/2000
1559,Adalgisa Dahse,78401075074,27/1/1900
1560,Andre Lima ,50770371681,2/6/1915
1561,Alanis Chaves,11810773309,25/12/1911
1562,Bruna Ferreira,62722469231,25/1/1915
1563,Agnes Dalateia,41206841750,12/11/1903
1564,Eduardo Alberico,23173700139,22/7/1998
1565,Alencar Christof,84950830487,17/8/1910
1566,Bartira Dalbias,51973152119,12/6/2010
1567,Blanca Dainer,18705784915,2/10/1908
1568,Jacilei Christoph,01489384324,4/2/1928
1569,Casimiro Damchen,46514116795,27/3/1915
1570,Onofre Lopes,05589619771,28/2/1958
1571,Alfeu Damann,86065732457,26/6/1928
1572,Beverly Lopes,94733580123,4/3/1904
1573,Inacio Dainer,93904424277,12/9/1914
1574,Olegario Alcione,80681548655,8/9/1937
1575,Eder Badia,20893407974,17/3/1934
1576,Benjamin Rangel,31216066145,4/6/1967
1577,Isaac Ribeiro,56535741433,25/4/1957
1578,Beatriz Damian,82995594579,5/7/1975
1579,Benicio Alcione,64202399603,2/11/1987
1580,Jasmim Campos,11352826508,12/11/1930
1581,Edmilson Claser,41602747607,19/7/1914
1582,Isaias Chremerv ,15208236381,30/11/1906
1583,Anat Damchen,54947408283,9/6/1922
1584,Isaac Chiel ,75207355063,5/5/1956
1585,Candida Dahse,58617769836,15/1/1934
1586,Eliseu Damasceno,59531575797,20/8/1947
1587,Aluisio Christof,15959755936,25/4/1963
1588,Carlota Alessandra,99746002015,16/11/1957
1589,Alcina Damiz,22361678916,18/2/1989
1590,Iuri Fernandes,68798997992,19/3/2005
1591,Abda Frazao,43931163889,1/3/1963
1592,Emerson Gonçalves,38888309323,5/4/1945
1593,Aisla Damazio,03947526631,5/2/1995
1594,Cesar Dahmer,67532075666,15/4/1922
1595,Jandineia Damara,93556418419,30/4/1908
1596,Ayram Damer,31925557608,31/1/1985
1597,Beth Chestian,56693980917,6/9/1935
1598,Berta Cleber,04215481733,12/11/1987
1599,Ivan Gouvea,99340873652,9/8/1948
1600,Arnaldinho de Campos,02431421143,4/8/1972
1601,Orides Aldete,56182045674,12/12/2011
1602,Ilton Christina,81189557238,22/7/1930
1603,Emerson Dalpias,64704501916,1/8/1942
1604,Célio Damaceno,24032976765,1/7/2007
1605,Baldoc Dalfert,64350065020,16/12/1905
1606,Alessandra Dalm,24675887724,26/12/1904
1607,Amilcar Leme,43432238023,11/6/1958
1608,Igor Batista,50576701644,23/1/1986
1609,Ivo Clairton,17269414613,24/4/1973
1610,Carmela Christov,73952074626,18/6/1906
1611,Benicio Batista,35352409844,23/3/1962
1612,Cassandra Damaceno,77898178240,13/7/1994
1613,Alvaro Basilio,13854775407,25/9/1993
1614,Celeste Ferreira,78729257072,22/9/2009
1615,Cassandra Daladeia,59114947194,17/7/1976
1616,Cassia Cironi,82677671226,4/1/1920
1617,Alfeu Dalfert,87513633502,31/10/1981
1618,Badia Dambach,19899953735,19/7/1922
1619,Beth Cleber,03430534216,12/10/1902
1620,Aldete Claser,84343511490,5/8/1977
1621,Odherban Chica,16161017023,13/3/1957
1622,Alfeu Ciola,03959047190,19/2/1943
1623,Edilson Gouvea,00451897815,1/9/1920
1624,Aidee  Ferreira,03291530361,10/10/1936
1625,Ayrton  Damazio,19915001654,16/12/1903
1626,Berta Alceu,40418832731,4/1/1941
1627,Benicio Chiarello,98624754230,17/5/1910
1628,Altamir Claser,16631266580,12/5/1984
1629,Ivan Dalober,26566669013,25/7/1958
1630,Belinda Christov,58568807719,12/4/1962
1631,Ivo Alceu,81700238585,23/5/1960
1632,Alencar Dalm,00468248348,11/8/1906
1633,Isaac Dambach,91959956654,16/11/2013
1634,Carlos Gonçalves,67474558622,28/6/1980
1635,Adalgisa Alberto,57071419579,22/10/1999
1636,Omar Christof,19945287980,12/1/1980
1637,Acacia Damiz,20440490531,29/6/1907
1638,Cassio Badia,52518756005,12/3/1993
1639,Inacio Damann,25056877632,5/8/1956
1640,Edmilson Chyssus,48407533335,21/4/2016
1641,Edvaldo Damer,79381323156,26/11/1934
1642,Abda Gomes,05999465679,8/5/1998
1643,Anat Chiel ,09981488404,25/8/1933
1644,Aisla Chestian,58242569244,12/11/1982
1645,Charles Claser,22510888240,24/2/1979
1646,Janey Damara,47409223674,29/12/1953
1647,Acacia Correa,36132393002,5/1/2012
1648,Jaimerina Alberto,88313429708,27/11/1915
1649,Odilson Daiger,25818971887,9/10/1918
1650,Charles Damaceno,12038224662,14/6/1946
1651,Adeilce  Christmann,42764744952,18/10/1966
1652,Carlos Correa,15680312920,31/5/1921
1653,Israel Chaves,01977671258,21/4/1922
1654,Alana Chremerv ,13818622149,17/10/1914
1655,Adriana  Damasceno,65287431806,27/11/1967
1656,Ayrton  Freitas,04099891887,2/4/1998
1657,Amir Daladeia,53912402262,14/6/1959
1658,Adalgisa Daiger,78305699371,31/3/1908
1659,Amancio Ribeiro,52571875488,15/7/1907
1660,Jaqueline Christof,32741354878,21/12/1986
1661,Aime  Gomes,65899674274,16/9/1982
1662,Alberto Damazio,41268278347,8/3/1904
1663,Betina Christ,61633736022,17/12/1906
1664,Altamir Alcione,68269037800,8/10/1915
1665,Bernadete Cidade,62150380915,8/6/1937
1666,Ilton Freitas,66184486379,19/2/1911
1667,Ed Damchen,50568925705,17/7/1931
1668,Orides Clairton,76393613356,30/5/1926
1669,Catarina Dambacher,63274775508,6/11/1989
1670,Iuri Dalpias,21616825348,23/1/1924
1671,Camila Dalm,26653424471,8/11/1922
1672,Ediraldo Dahse,52588538601,15/6/1949
1673,Isaias Rangel,47002562362,4/2/1946
1674,Carla Alcione,37214861099,11/7/1963
1675,Cassia Damazio,80907289802,14/3/1971
1676,Alaide Christov,49780132679,12/6/1940
1677,Chris Alessandra,28495288990,20/6/1999
1678,Inacio Chiel ,38960268062,9/5/1903
1679,Andrew Dalpias,77222074308,25/5/1920
1680,Amin Campos,49823292954,15/6/1931
1681,Alfeu Damasceno,04392083601,12/3/1945
1682,Edmilson Damazio,70679550722,14/2/1949
1683,Amilcar Dammann,06265336470,18/6/1911
1684,Ivo Ciola,96351083843,16/6/2006
1685,Amancio Clairton,65920114161,6/7/1936
1686,Brenda Fonseca,37468690922,26/9/1977
1687,Carol Claser,39400343169,2/8/2012
1688,Aldo Dambacher,27691574846,19/3/1950
1689,Orides Alberto,98795214081,28/3/1931
1690,Eivaldo Rangel,50657941885,10/6/1923
1691,Elias Chiel ,18339449942,28/10/1972
1692,Charles Damazio,73068185037,29/11/1909
1693,Evelyne Claser,02775821653,16/12/1905
1694,Acacia Damm,09951245214,29/10/2014
1695,Ediraldo Dams,58763548918,30/5/1901
1696,Brigida Dalpias,22950726771,6/8/1952
1697,Cassio Christov,99333206396,11/4/1929
1698,Eder Clarimoundo,43223093940,21/1/1931
1699,Bernadete Batista,49573669942,10/6/1937
1700,Aida Damchen,22505430924,24/10/1993
1701,Beth Fonseca,76766675571,1/11/1972
1702,Elton Christof,18257653618,21/3/1941
1703,Abigail Baldoc,91847044281,28/10/1953
1704,Amon Ciola,87855570094,2/5/1945
1705,Amauri Daiger,71296513938,5/3/1985
1706,Aida Christov,95683207369,25/4/1922
1707,Aira  Daiger,58906052937,24/9/1957
1708,Albertina Daiber,82101338456,5/7/1953
1709,Odécio Claussen,87851444952,15/3/1965
1710,Isaac Bartira,31233530297,1/10/1939
1711,Almir Daiger,37564330018,15/9/1913
1712,Carmem Chaves,47485241753,1/5/1961
1713,Onofre Chaulette,06517582553,7/2/1931
1714,Olivier Gouvea,82014832322,28/9/1965
1715,Alencar Badia,21712306034,31/5/1977
1716,Badia Dalms,62807194055,7/6/1915
1717,Brigite Chica,16474916918,4/4/1900
1718,Israel Batista,88452071490,27/7/1988
1719,Bela Chestian,66146297895,19/7/1919
1720,Jandineia Gonçalves,23188127769,9/7/1972
1721,Odorico Alcione,99984422130,14/6/1913
1722,Chris Gouvea,77594316392,27/7/1916
1723,Jasmim Clarimoundo,41314088652,21/2/2015
1724,Acacia Dammann,15110897479,25/2/1999
1725,Betina Damasceno,51903584542,28/12/1910
1726,Israel Dalober,12017504080,9/9/1942
1727,Ivo Alecya,90749173373,28/3/1948
1728,Benjamin Damazio,63493535415,18/9/2016
1729,Aidee  Alceu,19860352454,4/6/1937
1730,Candida Damer,48752547146,9/4/1920
1731,Oscar Christian ,07732936380,16/6/1940
1732,Irineu Dalpias,43067723620,25/8/1985
1733,Isaac Dalober,00343605308,26/11/1988
1734,Evelyne Campos,66243306183,26/12/1964
1735,Alfeu Fernandes,13481061362,11/6/1967
1736,Edvaldo Daiber,08477998182,12/7/1991
1737,Ilton Damaceno,29288155381,10/2/2004
1738,Celeste Christof,37769236349,13/3/1982
1739,Brigida Bartira,11592003934,30/11/1953
1740,Carol Baldoc,82428894705,11/9/1990
1741,Amin Dalfert,74904907032,24/10/1919
1742,Benito Chyssus,49569046463,9/4/1920
1743,Edvaldo Damasceno,66756500454,24/8/1937
1744,Alvaro Christmann,00557874989,9/8/1915
1745,Adriana  Ferreira,99607152876,6/4/1981
1746,Aidee  Alecya,82218831778,18/1/1987
1747,Eduardo Severino,27319891081,19/5/1923
1748,Cassio Leme,13415718121,15/1/1973
1749,Berta Chremerv ,02199755723,6/7/1946
1750,Isaac Daladeia,18654009551,7/9/2010
1751,Alanis Clairton,34567374221,5/5/1954
1752,Carlota Leme,75432158748,9/2/1966
1753,Aida Correa,38546363621,14/7/1956
1754,Alcir Christof,49114255455,25/8/1993
1755,Olegario Daladeia,92898637638,27/8/1959
1756,Betânia Alberto,21999581258,20/7/1938
1757,Odilon Correa,51306344067,22/4/1918
1758,Eliseu Alberico,18063292321,19/6/1981
1759,Carlos Cironi,54631752779,14/10/1952
1760,Aldo Damian,79051133864,16/10/1957
1761,Almir Ribeiro,91545405268,22/1/1925
1762,Edson Damazio,38269583145,29/6/1908
1763,Casimiro Chestian,53093805609,11/5/1924
1764,Berenice Claser,59967334668,5/6/1932
1765,Alaide Chiel ,61756211372,17/12/1965
1766,Cesar Cidade,58423716600,30/3/1940
1767,Alana Dainer,10580655254,14/12/1985
1768,Alceu Chaulette,43189774660,4/5/1944
1769,Andrew Chenicin,65689499131,29/12/1969
1770,Alcina Christof,35795413795,10/12/1988
1771,Brisa Clausen,25075910742,25/11/1939
1772,Edvaldo Dalm,90602616857,23/2/1953
1773,Camila Chaves,60251298831,6/12/1964
1774,Eivaldo Batista,38368265712,25/4/2003
1775,Igor Dalpias,64937168195,22/4/1988
1776,Aidee  Freitas,42031123484,8/1/1909
1777,Alexsander Alberico,75286525936,14/10/2013
1778,Badia Dalateia,74502010668,11/8/1903
1779,Israel Cidade,76287987047,13/2/1912
1780,Badia Ferreira,29016113291,10/1/1969
1781,Celeste Dalpias,69864598806,9/10/1921
1782,Aira  Chiel ,38542360976,5/5/1906
1783,Alvaro Chyssus,36019242314,12/6/1953
1784,Abda Ferreira,17764939107,12/2/1909
1785,Abda Alecya,82818056297,7/7/2014
1786,Aimee Christensen,26793547319,10/6/1935
1787,Basilio Damara,29631569752,15/7/1966
1788,Alcina Dalbias,21596422305,30/1/1951
1789,Ilton Alba,57508444368,23/7/1941
1790,Jasmim Damann,03690464959,19/2/1933
1791,Andrew Damasceno,58636805308,18/8/1907
1792,Aimee de Melo,02543730859,6/8/1979
1793,Brigite Damer,05814145584,10/1/1942
1794,Amilcar Ferreira,60703203746,15/12/1951
1795,Celene Damert,90248825076,25/9/1961
1796,Amin Christensen,73607445235,23/7/2012
1797,Ivich Damasceno,26147521512,19/5/2008
1798,Alessio Damaceno,58513761853,6/2/1937
1799,Alberico Badia,08076223321,26/2/1968
1800,Elton Damann,57631866786,25/3/1900
1801,Adelaide Chiarello,64883871524,7/3/1954
1802,Célio Alecya,29758656146,13/6/1906
1803,Emerson Christof,66216775573,21/3/1987
1804,Anat Ciqueira,06600161214,25/9/1999
1805,Alfredo Clarimoundo,05765908461,9/1/1936
1806,Almir Freitas,88929909583,3/9/1941
1807,Alencar Clausen,36538125254,26/1/1986
1808,Cecília Correa,91620091869,8/7/1904
1809,Igor Christoph,58554878066,4/6/2000
1810,Amancio Alberto,42372892313,10/11/1999
1811,Amir Cleber,12328953024,7/1/1975
1812,Amir Christensen,94977093793,1/10/1946
1813,Aida Damara,08884570957,21/1/1908
1814,Ed Dalober,95530612567,17/4/1951
1815,Brisa Gonçalves,11342885692,4/3/1908
1816,Acacia Dalm,00175233887,6/4/1932
1817,Adelia  Ciqueira,27964133413,27/1/1903
1818,Arnaldinho Alberico,50585964517,4/7/1914
1819,Edmilson Chaulette,82413958712,3/6/1987
1820,Eliseu Damiz,60595295731,14/2/1949
1821,Amancio Dammann,36808806151,14/7/1933
1822,Jade Ciola,20326939632,3/2/1996
1823,Amilcar Damm,78161245421,17/8/1967
1824,Brenda Chyssus,87097484643,2/11/1963
1825,Anat Dambach,36228741884,27/4/1913
1826,Berenice Ciola,64405639820,21/7/1921
1827,Odir Damiz,07175520460,23/12/1910
1828,Orfeu Dams,64232424332,4/9/2005
1829,Amancio Christof,43481498920,6/8/1982
1830,Cecil Christensen,26227870351,21/8/2014
1831,Alberico Campos,55647868792,12/7/1947
1832,Ediraldo Dalober,64569161302,22/3/1998
1833,Bela Lima ,10479111565,16/6/1985
1834,Ednei Basilio,34650786934,26/3/1959
1835,Eivaldo Christ,27599196264,20/7/1943
1836,Ednei Daladeia,27053036336,4/7/1916
1837,Ed Aldete,01534696740,7/7/1909
1838,Edson Ferreira,11321807480,29/12/2011
1839,Alfeu Dalms,97320303034,4/7/2009
1840,Casimiro Claus,99142152549,15/7/1951
1841,Brigite Cidade,61773885044,10/8/1949
1842,Iuri Dainer,63769168976,4/6/1945
1843,Betânia Chica,93255897052,26/6/2013
1844,Eliseu Dalateia,62698563352,12/4/1996
1845,Casimiro Alberico,81368810682,9/9/1958
1846,Emerson Dalateia,48911897500,19/11/1984
1847,Betânia Dalfert,55553935925,29/11/1994
1848,Amancio Christ,31381987809,14/4/1916
1849,Betânia Clairton,62392492211,19/4/2006
1850,Bruna Damert,24841967692,8/12/2013
1851,Badia Cimbern,89908110331,15/4/1920
1852,Abigail Gonçalves,38021454287,29/7/1956
1853,Berta Christian ,17471866333,28/9/1951
1854,Ilario Clarimoundo,93178338734,2/4/1991
1855,Odir Daiger,94456084075,7/3/1976
1856,Adelaide Ferreira,76124328482,27/11/1940
1857,Brenda Chaves,01937045538,22/10/1999
1858,Bianca Dammann,65885297097,31/10/1958
1859,Brisa Severino,36480404063,1/2/2005
1860,Americo Christian ,89061512473,7/6/1908
1861,Israel Dambach,40878760033,5/2/1936
1862,Bernadete Fonseca,66307492756,19/3/1927
1863,Arnaldinho Alba,24627706304,8/10/1900
1864,Amilcar Damasceno,60329840014,6/8/1910
1865,Caue Cidade,11654392770,10/2/1982
1866,Odécio Lima ,46417309157,21/11/1991
1867,Belinda Claus,10841162489,22/8/1972
1868,Abigail Cidade,02168314124,14/1/1996
1869,Jaqueline Chiarello,14619547276,17/1/2012
1870,Betina Lima ,06455943040,1/4/1933
1871,Barbara Cleber,27971252673,24/4/1930
1872,Janey Gomes,86791746137,6/2/2001
1873,Janey Lopes,41181537065,24/1/1913
1874,Olavo Dambacher,12778339679,26/7/1948
1875,Ivan Dammann,71501720730,5/3/1955
1876,Carmelo Clarimoundo,31217706352,13/3/2009
1877,Jasmim Damasceno,13181440146,19/1/1957
1878,Ed Dahse,51054652197,14/8/1907
1879,Alessio Daladeia,84893325453,7/5/1986
1880,Isaias Damm,08345014185,17/10/2001
1881,Ivich Chiel ,82273205207,16/2/2015
1882,Eduardo Rangel,63412966267,12/5/1916
1883,Beverly Chiel ,03935779678,4/2/1995
1884,Alessio Claus,42514464411,27/12/1988
1885,Odilson Cipriano,62596105970,3/8/1912
1886,Alcir Chenicin,42065849821,13/6/1963
1887,Betânia Cironi,31033978082,15/7/1949
1888,Emerson Christmann,78756872204,21/5/1912
1889,Betina Damazio,26505947887,7/8/1904
1890,Odilson Clairton,82235835969,1/1/1949
1891,Elton Christian ,32636917452,29/3/1934
1892,Onofre Rangel,26979242823,25/11/1974
1893,Charles Damiz,14249280374,17/7/1972
1894,Edvaldo Ribeiro,58481316775,1/6/1916
1895,Aimee Christensen,58712637077,31/3/1985
1896,Jade Gonçalves,97227330360,26/12/1936
1897,Alcione Dalateia,05261546756,2/12/1979
1898,Amilcar Daiger,61663380709,27/5/1993
1899,Alessandro Lopes,94405803691,30/5/1985
1900,Alvaro de Campos,24925084083,9/6/1983
1901,Alanis Christ,93096554570,8/10/2007
1902,Carla Christof,07226630691,5/8/1938
1903,Ivich Alcione,56703113966,5/12/1944
1904,Casimiro Christmann,76545119421,24/1/1917
1905,Amancio Alessandra,73060412572,10/8/1928
1906,Cesar Severino,76928479628,19/3/1997
1907,Amir Dalateia,91690939861,4/10/1929
1908,Onofre Christ,51399375184,20/8/1946
1909,Osmar Chestian,33692333473,23/5/1944
1910,Alex Damasceno,27685925420,2/9/1979
1911,Célio Christoph,91587444913,29/5/1994
1912,Alessio Chica,79508284220,25/7/1920
1913,Abigail Damian,28332056062,19/10/2005
1914,Elias de Melo,62230181431,8/1/1990
1915,Alanis Alceu,15065939772,31/10/2001
1916,Alba Claser,77841637737,23/2/2013
1917,Alcir Bartira,92593919631,25/1/1997
1918,Albertina Christensen,32962387983,3/1/1963
1919,Brigida Alcione,98408698247,4/3/1924
1920,Ivo Clausen,40000729720,5/11/2001
1921,Edson Ciqueira,16224380913,1/7/1921
1922,Alessandro Alcione,70668437441,12/1/1987
1923,Eduardo Aldete,70670606322,7/10/1940
1924,Aluisio Batista,31894616568,19/8/1975
1925,Aira  Lima ,47476432655,25/6/1996
1926,Americo Christina,18064941730,2/6/1940
1927,Celso Dalm,33347754428,12/6/1942
1928,Alessio Dammann,56177371417,5/3/2014
1929,Berenice Damian,58068153117,7/10/1957
1930,Jasmim de Melo,92287568354,12/1/2006
1931,Ilton Clairton,30528946227,23/9/1927
1932,Candida Chremerv ,49310347323,9/10/1936
1933,Catarina Ferreira,86569633049,20/7/1925
1934,Jaqueline Dalm,08128256622,9/7/1925
1935,Amancio Dalfert,03068457753,27/6/1939
1936,Amilcar Dalms,91741631691,18/7/1977
1937,Belinda Christian ,98856403978,13/10/1987
1938,Altamir Daiger,03607139665,26/11/1961
1939,Odherban Damann,96430042575,18/5/1989
1940,Evelyne Claus,71226547926,4/2/1907
1941,Cassio Daladeia,54872651715,22/8/1901
1942,Odilson Cipriano,42816194259,19/4/1979
1943,Alencar Damert,99731032362,25/6/1959
1944,Beatriz Daiber,72026421921,1/3/1965
1945,Basilio Basilio,08588485949,11/5/1941
1946,Janaina Damiz,88268311066,20/4/1965
1947,Ediraldo Dams,28135165859,26/9/1951
1948,Arnaldinho Alecya,68617097089,13/9/2008
1949,Odir Damscher,52049293629,22/10/1942
1950,Bernadete Dams,58958117334,18/1/2015
1951,Ed Chaves,12698416410,5/5/1911
1952,Cecil Daiber,46919176136,14/3/1915
1953,Amadeu Clarimoundo,43181221124,9/8/1922
1954,Jacilei Damscher,44915889834,13/1/1976
1955,Amadeu Alessandra,17019658498,22/9/1918
1956,Altamir Ciola,69594801143,3/6/1917
1957,Olegario Dalateia,46157113172,7/4/1921
1958,Osias Dalms,22117107493,2/1/1978
1959,Alfredo Damm,30605612599,7/7/2003
1960,Cassia Cidade,96870457558,19/4/2009
1961,Carol Damiz,08943817104,21/2/1957
1962,Alberico Clarimoundo,93800830695,1/3/2006
1963,Omar Daiger,85102932639,20/4/1925
1964,Odir Ribeiro,22583095754,26/9/1908
1965,Elton Christina,46006922992,18/4/1972
1966,Janaina Christoph,40844462629,16/7/1925
1967,Edson Dambacher,09007158302,14/4/1985
1968,Edmilson Batista,83698568977,2/4/1953
1969,Emerson de Melo,20968188667,27/4/1910
1970,Isaias Christina,60362165816,31/5/2012
1971,Andre Dalfert,34912886142,1/2/1964
1972,Berenice Chremerv ,20595360580,27/2/1994
1973,Beatriz Damazio,72497132962,19/9/1952
1974,Eliezer Dalateia,38685841056,2/8/1909
1975,Jade Christ,84867110714,22/7/1993
1976,Janey Christensen,74292023427,11/2/1955
1977,Carlota Bartira,43576873831,25/6/1984
1978,Eliseu Dalbias,14538682075,14/4/1959
1979,Cecília Damer,13228377946,29/11/1939
1980,Beth Damara,74465767948,27/3/1920
1981,Amin Gomes,56966997142,19/9/1991
1982,Bruna Rangel,02232721683,19/7/1990
1983,Berta Severino,46025849431,2/8/1994
1984,Isaac Damert,04172987422,20/10/1947
1985,Aimee Christ,28466666806,26/4/1967
1986,Ilario Chremerv ,99313056945,19/8/1943
1987,Alanis Dalateia,07385331549,27/12/1996
1988,Inacio Dammann,99178067865,7/5/2006
1989,Celia Aldete,82604167090,8/8/1929
1990,Aimee Chiarello,68264269865,19/9/1915
1991,Osias Damaceno,22276975099,16/4/2014
1992,Alaide Chenicin,10914618306,23/2/1985
1993,Cassandra Daiger,89307253354,16/7/1910
1994,Benjamin Rangel,52681820696,24/5/2009
1995,Carlota Clairton,13820067390,12/2/1983
1996,Cecile Christensen,54505916991,9/5/2010
1997,Ilton Alba,32999104064,11/5/2007
1998,Ivan Chyssus,74864161176,6/2/1934
1999,Carmem Dalm,36455631994,2/3/1977
2000,Amancio Chaulette,20375492842,8/7/1956
2001,Aira  Damiz,10693735706,28/3/1945
2002,Alceu Alecya,74640633202,26/12/2001
2003,Arnaldinho Leme,94350448499,24/5/1931
2004,Alcina Damiz,42713712852,5/3/2008
2005,Benjamin Chremerv ,26524623051,13/7/1918
2006,Berta Ribeiro,59687738382,30/3/1900
2007,Bianca Dahmer,57261159164,23/6/2005
2008,Célio Damchen,67726345558,2/6/1911
2009,Camila Dalober,76309800908,9/12/1991
2010,Olivier Alba,69825986795,10/11/1963
2011,Oscar Damaceno,56010030808,14/2/1956
2012,Arnaldinho Dalpias,06254020653,28/1/2003
2013,Caue Damasceno,72897582676,6/1/1993
2014,Aime  Christensen,03188097026,29/11/1903
2015,Jacilei Dalbias,36517508069,12/9/1999
2016,Casimiro Christina,86445491351,29/11/1920
2017,Brigite Gomes,78540380531,28/1/1932
2018,Carmela Dainer,47579237741,19/2/1917
2019,Amadeu Damann,83456123138,16/3/2012
2020,Cecil Gonçalves,86046593336,22/6/2014
2021,Aira  Damasceno,83758728556,10/6/1989
2022,Eliseu Dalfert,48162941856,18/9/2000
2023,Anat Dambacher,51483962305,26/4/1973
2024,Alcione Christian ,85262018917,5/6/2014
2025,Altamir Christmann,20537619356,5/7/2004
2026,Amancio Christov,88795435996,20/11/1971
2027,Aldete Chaves,87152683869,26/2/1948
2028,Ivo Clairton,61170351131,31/1/1924
2029,Emerson Dams,86834186116,17/3/2009
2030,Cecília Damm,06323154001,22/8/1924
2031,Elias Alberto,89747184554,5/6/1910
2032,Célio Christov,81529489196,4/2/1923
2033,Isaias Christoph,66829849828,28/3/1919
2034,Alexsander Freitas,62628832233,17/6/2012
2035,Aldo Cleber,51398072409,13/5/1917
2036,Ayrton  Christmann,32723636679,21/10/1901
2037,Cesar Damaceno,96989401638,2/9/2004
2038,Cassio Damm,44459972964,10/4/2014
2039,Aldo Chiel ,80492851827,20/10/1970
2040,Celso Leme,12780489296,16/2/2001
2041,Alex Chenicin,31632267144,31/5/2004
2042,Charles Baldoc,02969457635,18/12/1978
2043,Elias Gomes,91849471826,22/1/1995
2044,Chris Batista,67552288331,8/7/1935
2045,Alcina Christmann,83605853077,4/9/1983
2046,Edilson Fernandes,87216594541,4/7/1963
2047,Caue Ribeiro,77338436746,20/8/1935
2048,Celene Dambacher,84645096722,26/9/1917
2049,Edvaldo Gonçalves,91916640818,11/10/1923
2050,Elton Chestian,13330239902,3/10/1964
2051,Brigida Christoph,04790960219,30/10/1905
2052,Adelia  Damscher,89599631101,30/7/2005
2053,Badia de Campos,25518041578,30/9/1911
2054,Berta Cironi,04739420355,22/3/1917
2055,Amancio Chiarello,72259129897,15/8/1968
2056,Eivaldo Damian,13789007204,30/4/1982
2057,Alcione Correa,06549858859,15/1/2014
2058,Brigida Freitas,82459919140,30/10/1971
2059,Agnes Damazio,58593464963,14/4/1909
2060,Adriana  Dalateia,13415010705,24/12/1988
2061,Brigite Alberto,85910839769,8/10/1958
2062,Alceu Ferreira,15330675955,20/8/1992
2063,Beth Clairton,08222700366,11/2/1910
2064,Adelaide Damiz,40233835547,25/6/1909
2065,Aldo Cidade,38697877283,29/8/1979
2066,Israel Damscher,13348177852,12/3/1995
2067,Amir Chestian,48615142970,15/12/1985
2068,Ismael Dalms,48872301932,28/7/2005
2069,Alcina Dams,97096657853,28/6/1988
2070,Andrew Alessandra,65550255903,25/2/2000
2071,Bruna Dammann,31148758415,20/6/1938
2072,Casimiro Damian,80340514807,20/6/1912
2073,Bartira Aldete,91573756673,21/12/1956
2074,Ednei Daiger,93203156901,1/10/1953
2075,Carole Clairton,06000470555,17/3/1962
2076,Onofre Frazao,63744058407,9/2/1904
2077,Alfeu Chica,23070288428,22/5/1999
2078,Odorico Aldete,31023702201,10/11/1992
2079,Adelia  Clarimoundo,77210597633,19/2/2001
2080,Osias Alba,54971837421,25/4/1943
2081,Iuri Severino,33073418446,11/1/1909
2082,Isaac Batista,36371114604,17/8/1981
2083,Anat Fernandes,02546216452,15/9/1941
